30pN,20pN,15pN,12pN,10pN,7.5pN,7pN,6.5pN,6pN,5.5pN,5pN
-3.87511,-2.42889,-1.03846,-0.719861,-2.67585,3.64459,4.41995,1.30733,1.92527,4.65833,3.28586
-4.31954,-2.80434,-0.891208,-0.500397,-2.9659,4.40413,-2.00128,1.12529,2.07608,2.65872,2.09278
-3.99145,-3.13038,-2.68298,-2.47713,-0.308565,2.88661,4.73367,-2.78834,5.04599,0.707789,4.1811
-4.98557,-4.08364,-1.92087,-0.386118,0.430548,2.96361,2.2442,-2.71197,4.82033,3.54287,4.15189
-4.03419,-3.40512,-1.22105,-2.19526,0.00776974,4.24714,2.5245,,3.72109,0.191199,2.9883
-3.73279,-4.17462,-2.19967,-1.38629,-2.23895,3.90067,3.13403,2.32425,3.22388,3.09635,4.28422
-5.13971,-4.19061,-3.15297,-0.736807,0.013311,3.60051,2.87853,1.70333,0.885436,3.1847,5.06703
-3.43495,-4.22345,-3.38691,-1.18368,-1.30431,4.26561,2.93702,1.15616,4.05183,3.21643,5.25816
-3.09202,-4.06926,-2.18329,-2.69736,-2.3842,3.4027,4.05462,3.09386,-0.528498,-0.448743,4.18873
-4.7914,-3.10283,-2.77454,-2.27041,-0.554952,3.79342,3.52776,1.74033,4.36323,-1.48797,3.74856
-4.85203,-3.26791,-2.23895,-1.94275,-2.0033,4.06831,3.22098,1.27865,5.79963,3.71423,2.05612
-5.13971,-4.23182,-2.76288,-1.50652,-0.948478,1.23012,2.11409,1.80983,4.12282,3.51253,3.949068
-5.54519,-4.04635,-2.21522,-2.79033,-1.70101,2.24567,1.62844,-0.383254,4.9542,2.02713,4.80146
-4.62889,-3.84614,-2.20737,-1.48259,-1.55737,0.925742,0.862151,0.484276,5.11974,1.67356,4.08004
-4.68018,-2.35547,-1.44253,-2.1142,0.529215,2.63149,4.64888,0.725808,4.63872,2.19233,4.01827
-4.53359,-2.84339,-2.80434,-1.8439,-1.67137,2.32498,3.92419,1.84006,3.17552,2.58014,5.21442
,-2.44847,-1.15693,-2.58767,-0.952592,0.502664,2.17543,-1.59396,1.99109,3.30502,4.48429
,-3.81794,-3.91102,0.30697,-2.2967,2.64806,-0.238943,2.75811,3.65545,3.18404,5.191
,-5.02193,-3.06811,-2.20301,-1.32935,5.08647,4.34657,0.119559,5.31976,1.78874,3.71721
,-2.14815,-1.26549,-0.718362,-0.181978,0.638728,4.48792,0.90134,3.49391,2.71569,2.65922
,-4.62889,-2.37496,-2.15961,-1.43788,2.84396,3.41665,2.21187,3.07918,4.14059,5.64582
,-3.84045,0.700917,-0.735303,0.372529,0.323785,2.07796,-0.319434,3.65449,3.21254,3.17673
,-3.93575,0.10625,-1.68179,0.167462,4.19122,4.0151,1.09209,3.30648,4.17599,2.41642
,-2.83712,-0.588913,-0.393561,0.342738,2.48497,2.99435,2.63174,4.78869,3.82715,5.18895
,-2.78834,-1.41803,-2.57958,0.314373,3.47888,4.43761,2.2517,1.85547,4.75775,4.31254
,-3.81794,-2.59745,-0.476279,-0.780079,4.2248,3.0315,3.65692,4.06579,4.74122,3.986515
,-4.40575,-1.35174,-2.83504,0.719059,0.223703,3.98183,2.92997,3.7148,2.8183,3.111865
,-4.04111,-3.14728,-0.986713,-1.71114,3.58721,2.82446,2.19852,3.08021,3.02935,4.651809
,-4.15888,-2.06396,-3.23946,-3.53444,3.08658,1.96832,2.21784,4.79035,4.35538,4.871972
,-1.86098,-1.53786,-2.02715,1.28634,-0.173365,4.04381,-0.589346,4.52808,4.88948,4.691708
,-3.26471,-1.76955,-0.407908,0.450184,-0.429541,3.78369,2.00391,4.24746,0.94282,3.915876
,-3.92334,-2.31141,1.42508,2.20697,-1.07426,3.66295,0.618154,1.8556,0.558541,2.871608
,-2.27041,-2.10718,2.01588,0.205794,-1.31113,2.51204,0.971006,3.70539,4.62027,1.447039
,-3.92334,-0.615205,1.3928,-0.448367,2.22132,4.41125,4.10127,3.31988,1.9327,4.235158
,-3.84045,-2.74561,0.549969,-3.19379,3.53224,-1.73518,3.44935,2.29041,-0.303348,3.58877
,-3.2939,-3.05508,-1.76096,-3.32055,3.45691,3.76063,3.35598,5.16673,0.39526,
